MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(3, 18)","(4, 8)",4042,0,1366,258054
"(3, 4)","(3, 4)","(3, 18)","(4, 10)",3298,0,1353,256256
"(3, 4)","(3, 4)","(3, 18)","(4, 12)",2894,0,1338,249615
"(3, 4)","(3, 4)","(3, 18)","(4, 15)",2527,0,1326,246699
"(3, 4)","(3, 4)","(3, 18)","(4, 18)",2320,0,1312,243077
"(3, 4)","(3, 4)","(4, 6)","(3, 6)",9109,0,1683,329339
"(3, 4)","(3, 4)","(4, 6)","(3, 8)",7957,0,1634,315568
"(3, 4)","(3, 4)","(4, 6)","(3, 10)",7372,0,1599,308828
"(3, 4)","(3, 4)","(4, 6)","(3, 12)",7019,0,1573,306744
"(3, 4)","(3, 4)","(4, 6)","(3, 15)",6701,0,1549,298635
"(3, 4)","(3, 4)","(4, 6)","(3, 18)",6497,0,1520,293248
"(3, 4)","(3, 4)","(4, 6)","(4, 6)",10370,0,1626,319105
"(3, 4)","(3, 4)","(4, 6)","(4, 8)",8446,0,1574,307196
"(3, 4)","(3, 4)","(4, 6)","(4, 10)",7643,0,1547,302767
"(3, 4)","(3, 4)","(4, 6)","(4, 12)",7192,0,1536,294718
"(3, 4)","(3, 4)","(4, 6)","(4, 15)",6796,0,1519,288717
"(3, 4)","(3, 4)","(4, 6)","(4, 18)",6575,0,1501,282204
"(3, 4)","(3, 4)","(4, 8)","(3, 6)",7025,0,1563,309150
"(3, 4)","(3, 4)","(4, 8)","(3, 8)",5890,0,1511,294747
"(3, 4)","(3, 4)","(4, 8)","(3, 10)",5321,0,1474,287649
"(3, 4)","(3, 4)","(4, 8)","(3, 12)",4970,0,1453,285394
"(3, 4)","(3, 4)","(4, 8)","(3, 15)",4662,0,1435,276643
"(3, 4)","(3, 4)","(4, 8)","(3, 18)",4456,0,1394,274465
"(3, 4)","(3, 4)","(4, 8)","(4, 6)",8277,0,1506,299575
"(3, 4)","(3, 4)","(4, 8)","(4, 8)",6374,0,1453,288750
"(3, 4)","(3, 4)","(4, 8)","(4, 10)",5586,0,1432,285520
"(3, 4)","(3, 4)","(4, 8)","(4, 12)",5143,0,1418,278946
"(3, 4)","(3, 4)","(4, 8)","(4, 15)",4751,0,1400,275673
"(3, 4)","(3, 4)","(4, 8)","(4, 18)",4536,0,1384,270096
"(3, 4)","(3, 4)","(4, 10)","(3, 6)",6102,0,1550,301425
"(3, 4)","(3, 4)","(4, 10)","(3, 8)",4975,0,1492,286161
"(3, 4)","(3, 4)","(4, 10)","(3, 10)",4406,0,1465,281616
"(3, 4)","(3, 4)","(4, 10)","(3, 12)",4067,0,1441,279032
"(3, 4)","(3, 4)","(4, 10)","(3, 15)",3757,0,1419,269261
"(3, 4)","(3, 4)","(4, 10)","(3, 18)",3560,0,1393,268356
"(3, 4)","(3, 4)","(4, 10)","(4, 6)",7339,0,1490,291119
"(3, 4)","(3, 4)","(4, 10)","(4, 8)",5457,0,1441,278867
"(3, 4)","(3, 4)","(4, 10)","(4, 10)",4675,0,1415,275878
"(3, 4)","(3, 4)","(4, 10)","(4, 12)",4238,0,1401,270399
"(3, 4)","(3, 4)","(4, 10)","(4, 15)",3853,0,1385,266525
"(3, 4)","(3, 4)","(4, 10)","(4, 18)",3637,0,1364,261721
"(3, 4)","(3, 4)","(4, 12)","(3, 6)",5503,0,1464,286123
"(3, 4)","(3, 4)","(4, 12)","(3, 8)",4400,0,1422,273769
"(3, 4)","(3, 4)","(4, 12)","(3, 10)",3855,0,1390,265582
"(3, 4)","(3, 4)","(4, 12)","(3, 12)",3515,0,1373,265312
"(3, 4)","(3, 4)","(4, 12)","(3, 15)",3216,0,1359,256338
"(3, 4)","(3, 4)","(4, 12)","(3, 18)",3027,0,1327,254706
"(3, 4)","(3, 4)","(4, 12)","(4, 6)",6720,0,1407,276229
"(3, 4)","(3, 4)","(4, 12)","(4, 8)",4885,0,1366,264364
"(3, 4)","(3, 4)","(4, 12)","(4, 10)",4112,0,1347,261027
"(3, 4)","(3, 4)","(4, 12)","(4, 12)",3692,0,1333,255734
"(3, 4)","(3, 4)","(4, 12)","(4, 15)",3320,0,1325,252671
"(3, 4)","(3, 4)","(4, 12)","(4, 18)",3102,0,1307,248690
"(3, 4)","(3, 4)","(4, 15)","(3, 6)",5036,0,1456,281953
"(3, 4)","(3, 4)","(4, 15)","(3, 8)",3967,0,1414,268972
"(3, 4)","(3, 4)","(4, 15)","(3, 10)",3423,0,1373,260049
"(3, 4)","(3, 4)","(4, 15)","(3, 12)",3098,0,1358,260966
"(3, 4)","(3, 4)","(4, 15)","(3, 15)",2803,0,1341,250644
"(3, 4)","(3, 4)","(4, 15)","(3, 18)",2606,0,1306,249580
"(3, 4)","(3, 4)","(4, 15)","(4, 6)",6236,0,1401,270998
"(3, 4)","(3, 4)","(4, 15)","(4, 8)",4431,0,1357,259374
"(3, 4)","(3, 4)","(4, 15)","(4, 10)",3672,0,1336,255486
"(3, 4)","(3, 4)","(4, 15)","(4, 12)",3268,0,1319,246945
"(3, 4)","(3, 4)","(4, 15)","(4, 15)",2886,0,1310,243602
"(3, 4)","(3, 4)","(4, 15)","(4, 18)",2685,0,1288,236847
"(3, 4)","(3, 4)","(4, 18)","(3, 6)",4690,0,1439,270505
"(3, 4)","(3, 4)","(4, 18)","(3, 8)",3635,0,1390,257735
"(3, 4)","(3, 4)","(4, 18)","(3, 10)",3102,0,1360,250767
"(3, 4)","(3, 4)","(4, 18)","(3, 12)",2789,0,1340,248845
"(3, 4)","(3, 4)","(4, 18)","(3, 15)",2502,0,1327,244635
"(3, 4)","(3, 4)","(4, 18)","(3, 18)",2315,0,1302,240214
"(3, 4)","(3, 4)","(4, 18)","(4, 6)",5852,0,1379,262281
"(3, 4)","(3, 4)","(4, 18)","(4, 8)",4096,0,1328,252238
