MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,No. of no space,No. of no inventory,sum of missing units
"(3, 4)","(3, 4)","(3, 15)","(3, 12)",3008,0,1428,268232
"(3, 4)","(3, 4)","(3, 15)","(3, 15)",2707,0,1415,261664
"(3, 4)","(3, 4)","(3, 15)","(3, 18)",2512,0,1386,258623
"(3, 4)","(3, 4)","(3, 15)","(3, 21)",2367,0,1384,259678
"(3, 4)","(3, 4)","(3, 15)","(3, 24)",2276,0,1379,253767
"(3, 4)","(3, 4)","(3, 15)","(4, 6)",6196,0,1491,284849
"(3, 4)","(3, 4)","(3, 15)","(4, 8)",4376,0,1442,273490
"(3, 4)","(3, 4)","(3, 15)","(4, 10)",3601,0,1419,270017
"(3, 4)","(3, 4)","(3, 15)","(4, 12)",3182,0,1405,262846
"(3, 4)","(3, 4)","(3, 15)","(4, 15)",2808,0,1390,259192
"(3, 4)","(3, 4)","(3, 15)","(4, 18)",2585,0,1362,254945
"(3, 4)","(3, 4)","(3, 15)","(4, 21)",2415,0,1367,253837
"(3, 4)","(3, 4)","(3, 15)","(4, 24)",2313,0,1358,251880
"(3, 4)","(3, 4)","(3, 18)","(3, 6)",4662,0,1465,279285
"(3, 4)","(3, 4)","(3, 18)","(3, 8)",3602,0,1423,264608
"(3, 4)","(3, 4)","(3, 18)","(3, 10)",3051,0,1388,258215
"(3, 4)","(3, 4)","(3, 18)","(3, 12)",2728,0,1372,254926
"(3, 4)","(3, 4)","(3, 18)","(3, 15)",2438,0,1349,249529
"(3, 4)","(3, 4)","(3, 18)","(3, 18)",2244,0,1327,245198
"(3, 4)","(3, 4)","(3, 18)","(3, 21)",2112,0,1323,244353
"(3, 4)","(3, 4)","(3, 18)","(3, 24)",2026,0,1313,242596
"(3, 4)","(3, 4)","(3, 18)","(4, 6)",5836,0,1415,270858
"(3, 4)","(3, 4)","(3, 18)","(4, 8)",4058,0,1363,258306
"(3, 4)","(3, 4)","(3, 18)","(4, 10)",3303,0,1350,256360
"(3, 4)","(3, 4)","(3, 18)","(4, 12)",2899,0,1334,249571
"(3, 4)","(3, 4)","(3, 18)","(4, 15)",2528,0,1321,246332
"(3, 4)","(3, 4)","(3, 18)","(4, 18)",2319,0,1306,242661
"(3, 4)","(3, 4)","(3, 18)","(4, 21)",2159,0,1308,237964
"(3, 4)","(3, 4)","(3, 18)","(4, 24)",2067,0,1293,240699
"(3, 4)","(3, 4)","(3, 21)","(3, 6)",4406,0,1412,272173
"(3, 4)","(3, 4)","(3, 21)","(3, 8)",3366,0,1378,259879
"(3, 4)","(3, 4)","(3, 21)","(3, 10)",2835,0,1342,253153
"(3, 4)","(3, 4)","(3, 21)","(3, 12)",2521,0,1333,252407
"(3, 4)","(3, 4)","(3, 21)","(3, 15)",2234,0,1319,245748
"(3, 4)","(3, 4)","(3, 21)","(3, 18)",2050,0,1289,240304
"(3, 4)","(3, 4)","(3, 21)","(3, 21)",1921,0,1293,243804
"(3, 4)","(3, 4)","(3, 21)","(3, 24)",1831,0,1284,239994
"(3, 4)","(3, 4)","(3, 21)","(4, 6)",5570,0,1365,263461
"(3, 4)","(3, 4)","(3, 21)","(4, 8)",3823,0,1323,252296
"(3, 4)","(3, 4)","(3, 21)","(4, 10)",3089,0,1304,249828
"(3, 4)","(3, 4)","(3, 21)","(4, 12)",2682,0,1291,242476
"(3, 4)","(3, 4)","(3, 21)","(4, 15)",2325,0,1291,242138
"(3, 4)","(3, 4)","(3, 21)","(4, 18)",2121,0,1269,234402
"(3, 4)","(3, 4)","(3, 21)","(4, 21)",1969,0,1264,235786
"(3, 4)","(3, 4)","(3, 21)","(4, 24)",1872,0,1257,235118
"(3, 4)","(3, 4)","(3, 24)","(3, 6)",4212,0,1387,262649
"(3, 4)","(3, 4)","(3, 24)","(3, 8)",3188,0,1348,248879
"(3, 4)","(3, 4)","(3, 24)","(3, 10)",2674,0,1312,242611
"(3, 4)","(3, 4)","(3, 24)","(3, 12)",2366,0,1293,239478
"(3, 4)","(3, 4)","(3, 24)","(3, 15)",2084,0,1285,235866
"(3, 4)","(3, 4)","(3, 24)","(3, 18)",1903,0,1256,230596
"(3, 4)","(3, 4)","(3, 24)","(3, 21)",1775,0,1255,230409
"(3, 4)","(3, 4)","(3, 24)","(3, 24)",1694,0,1248,227172
"(3, 4)","(3, 4)","(3, 24)","(4, 6)",5343,0,1333,253558
"(3, 4)","(3, 4)","(3, 24)","(4, 8)",3628,0,1290,241737
"(3, 4)","(3, 4)","(3, 24)","(4, 10)",2913,0,1272,239261
"(3, 4)","(3, 4)","(3, 24)","(4, 12)",2520,0,1261,232934
"(3, 4)","(3, 4)","(3, 24)","(4, 15)",2171,0,1256,230691
"(3, 4)","(3, 4)","(3, 24)","(4, 18)",1968,0,1242,229624
"(3, 4)","(3, 4)","(3, 24)","(4, 21)",1819,0,1240,224767
"(3, 4)","(3, 4)","(3, 24)","(4, 24)",1725,0,1230,224945
"(3, 4)","(3, 4)","(4, 6)","(3, 6)",9092,0,1684,331418
"(3, 4)","(3, 4)","(4, 6)","(3, 8)",7933,0,1634,316976
"(3, 4)","(3, 4)","(4, 6)","(3, 10)",7327,0,1597,309528
"(3, 4)","(3, 4)","(4, 6)","(3, 12)",6981,0,1577,310238
"(3, 4)","(3, 4)","(4, 6)","(3, 15)",6654,0,1549,298206
"(3, 4)","(3, 4)","(4, 6)","(3, 18)",6448,0,1522,293874
"(3, 4)","(3, 4)","(4, 6)","(3, 21)",6301,0,1512,291901
"(3, 4)","(3, 4)","(4, 6)","(3, 24)",6192,0,1515,288708
"(3, 4)","(3, 4)","(4, 6)","(4, 6)",10365,0,1626,320426
"(3, 4)","(3, 4)","(4, 6)","(4, 8)",8418,0,1570,308739
"(3, 4)","(3, 4)","(4, 6)","(4, 10)",7602,0,1549,303911
"(3, 4)","(3, 4)","(4, 6)","(4, 12)",7152,0,1537,295329
"(3, 4)","(3, 4)","(4, 6)","(4, 15)",6745,0,1520,288826
"(3, 4)","(3, 4)","(4, 6)","(4, 18)",6521,0,1498,282105
"(3, 4)","(3, 4)","(4, 6)","(4, 21)",6346,0,1495,283677
"(3, 4)","(3, 4)","(4, 6)","(4, 24)",6236,0,1486,277119
"(3, 4)","(3, 4)","(4, 8)","(3, 6)",7037,0,1566,311979
"(3, 4)","(3, 4)","(4, 8)","(3, 8)",5884,0,1516,297287
"(3, 4)","(3, 4)","(4, 8)","(3, 10)",5304,0,1478,290002
"(3, 4)","(3, 4)","(4, 8)","(3, 12)",4951,0,1455,286927
"(3, 4)","(3, 4)","(4, 8)","(3, 15)",4638,0,1429,277445
