SKU_ID,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22
2R013490,2,2,,1,,1,,1,,1,2,1,1,0,1,0
2R014490,,,,,,1,1,1,2,1,1,1,3,1,1,1
2RK01589,1,,1,1,2,1,1,1,3,1,1,1,2,0,2,1
2ST03280,1,1,1,1,2,2,1,2,1,1,2,2,0,2,1,1
2ST04980,5,4,5,7,8,4,8,6,3,8,6,7,6,4,6,8
2T940030,,2,1,,1,2,,,1,1,1,,1,1,0,0
2TK43610,5,4,4,3,7,5,7,5,4,4,4,5,6,4,3,5
3A013550,6,11,3,8,6,13,5,,4,8,6,1,10,3,0,8
3A100000,1,,,,1,,,,,,,2,1,2,1,1
3A171800,5,2,2,7,7,3,4,11,9,13,18,12,2,5,3,0
3A300000,2,,,,1,1,,1,,,,,1,0,0,0
3A301000,15,6,11,15,13,10,10,22,10,10,9,3,8,0,0,0
3AK01310,3,4,2,7,4,3,2,3,3,7,4,3,3,2,0,6
3AK01710,,,,1,,1,,,,,1,,3,0,0,0
3AK01801,,,,,,,,1,1,,,1,1,0,1,0
3AK01820,12,11,12,9,11,10,15,23,11,20,12,17,16,7,12,10
3AK05810,6,7,6,6,7,9,7,12,6,13,8,8,7,5,4,4
3AK07210,2,1,1,1,1,1,2,2,4,6,1,3,1,2,2,1
3AK10814,4,2,4,4,3,3,3,3,6,5,5,5,2,2,10,2
3AK10816,5,4,6,5,5,5,6,9,6,7,6,7,10,8,9,8
3AK58610,1,4,3,1,1,2,1,,,,,,1,3,2,1
3AK58611,,,,,,2,,,,,1,,0,0,0,1
3AK77510,6,5,8,9,7,5,7,4,5,4,5,5,3,4,5,4
3BK03710,1,1,,,1,1,,,1,,1,,1,0,0,0
3BK03810,,,,,1,,,1,,,,,1,0,0,0
3CK01011,3,2,3,5,3,4,1,5,2,2,3,2,3,2,4,3
3CK07310,,,,,,1,,1,2,1,,,0,1,0,0
3CK07410,,1,,,,,,,,1,,,0,0,0,0
3CK07510,,,,,,,,,,2,1,,0,0,0,0
3DK01410,2,2,,1,2,1,1,1,1,1,2,2,1,1,1,1
3DK03271,,,,,1,,1,,,,1,,0,0,0,0
3DK03610,,,,,,,,,1,,,,0,0,0,0
3E195030,9,6,7,8,6,10,8,7,6,10,7,8,11,6,9,7
3EK00210,1,3,,,1,,1,,,,,,0,0,0,0
3EK03910,11,11,7,7,8,9,10,10,6,6,6,6,7,7,8,8
3EN38780,2,1,5,4,6,5,3,4,3,5,3,4,3,0,0,0
3EN38880,2,2,1,1,,2,2,1,1,1,1,2,0,0,0,0
3F750060,,1,2,,1,,,1,,,,,0,0,0,0
3FK30910,3,7,6,6,4,11,3,3,2,4,2,4,3,7,3,0
3FK31410,11,11,8,9,8,8,8,11,7,9,5,6,6,5,4,6
3GM057R2,,,,,1,2,1,,,,,1,1,2,2,2
3L000351,5,5,5,4,8,7,8,6,7,8,9,6,6,7,1,0
3L425253,3,4,2,4,2,5,5,7,4,1,,,6,8,6,4
3MK33810,2,,1,2,1,,1,1,1,,1,3,1,3,2,2
3NK57021,1,9,7,6,5,8,,,,9,3,3,1,0,0,3
3NK57023,1,1,,,,,,,,,1,,0,1,2,0
3NT00481,2,3,2,3,2,2,4,3,2,5,3,3,3,0,0,4
3SK06310,,,1,,,,1,1,,1,,,0,0,0,0
3SK06410,1,1,,,,,,1,1,,1,,1,0,0,0
3TK03510,4,7,4,4,5,4,5,5,4,7,4,6,7,5,6,3
3TK03910,3,3,5,5,2,6,3,5,5,6,7,4,6,4,6,5
3TK05510,1,1,1,2,,1,,1,,,1,,2,0,0,0
3TK05520,,1,1,,,,1,1,,,,,0,2,2,0
3TK82410,1,3,,,2,1,2,2,2,2,2,2,2,2,2,2
3VK69511,1,,1,,,,,,,,,,0,0,0,0
7DK18410,9,7,7,8,10,7,3,10,8,9,10,11,9,10,0,1
8ILPFS03,6,4,4,4,6,4,3,6,2,5,6,7,5,3,6,4
AB172525,5,3,3,3,5,4,3,3,4,4,4,,10,1,4,3
