MinMax of Q1 (under 10),MinMax of Q2 (under 10),MinMax of Q1 (over 10),MinMax of Q2 (over 10),No. of refreshes,rank1,No. of no space,No. of no inventory,rank2,sum of missing units
"(3, 4)","(3, 4)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 4)","(3, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 4)","(4, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 5)","(3, 4)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 5)","(3, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 5)","(4, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(4, 5)","(3, 4)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(4, 5)","(3, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(4, 5)","(4, 5)","(3, 12)","(3, 12)",3328,38,0,127,46,82106
"(3, 4)","(3, 4)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 4)","(3, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 4)","(4, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 5)","(3, 4)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 5)","(3, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 5)","(4, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(4, 5)","(3, 4)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(4, 5)","(3, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(4, 5)","(4, 5)","(3, 12)","(3, 15)",3008,26,0,128,47,75260
"(3, 4)","(3, 4)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 4)","(3, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 4)","(4, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 5)","(3, 4)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 5)","(3, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 5)","(4, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(4, 5)","(3, 4)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(4, 5)","(3, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(4, 5)","(4, 5)","(3, 18)","(3, 8)",3511,44,0,128,47,75938
"(3, 4)","(3, 4)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 4)","(3, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 4)","(4, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 5)","(3, 4)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 5)","(3, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 5)","(4, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(4, 5)","(3, 4)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(4, 5)","(3, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(4, 5)","(4, 5)","(4, 8)","(3, 15)",4645,81,0,128,47,78980
"(3, 4)","(3, 4)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 4)","(3, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 4)","(4, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 5)","(3, 4)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 5)","(3, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 5)","(4, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(4, 5)","(3, 4)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(4, 5)","(3, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(4, 5)","(4, 5)","(4, 6)","(4, 18)",6860,122,0,128,47,87076
"(3, 4)","(3, 4)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 4)","(3, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 4)","(4, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 5)","(3, 4)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 5)","(3, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 5)","(4, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(4, 5)","(3, 4)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(4, 5)","(3, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(4, 5)","(4, 5)","(4, 8)","(4, 10)",5632,104,0,129,48,87208
"(3, 4)","(3, 4)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 4)","(3, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 4)","(4, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 5)","(3, 4)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 5)","(3, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 5)","(4, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(4, 5)","(3, 4)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(4, 5)","(3, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(4, 5)","(4, 5)","(3, 15)","(3, 10)",3273,35,0,130,49,76486
"(3, 4)","(3, 4)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 4)","(3, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 4)","(4, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 5)","(3, 4)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 5)","(3, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 5)","(4, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(4, 5)","(3, 4)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(4, 5)","(3, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(4, 5)","(4, 5)","(4, 12)","(4, 6)",7206,126,0,130,49,89906
"(3, 4)","(3, 4)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 4)","(3, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 4)","(4, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 5)","(3, 4)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 5)","(3, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 5)","(4, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(4, 5)","(3, 4)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(4, 5)","(3, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(4, 5)","(4, 5)","(4, 6)","(4, 15)",7085,125,0,132,50,89596
"(3, 4)","(3, 4)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 4)","(3, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 4)","(4, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 5)","(3, 4)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 5)","(3, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 5)","(4, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(4, 5)","(3, 4)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(4, 5)","(3, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(4, 5)","(4, 5)","(3, 8)","(4, 18)",3988,59,0,133,51,81051
"(3, 4)","(3, 4)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 4)","(3, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 4)","(4, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 5)","(3, 4)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 5)","(3, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 5)","(4, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(4, 5)","(3, 4)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(4, 5)","(3, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(4, 5)","(4, 5)","(4, 8)","(3, 12)",4982,88,0,133,51,88305
"(3, 4)","(3, 4)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 4)","(3, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 4)","(4, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 5)","(3, 4)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 5)","(3, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 5)","(4, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(4, 5)","(3, 4)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(4, 5)","(3, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(4, 5)","(4, 5)","(4, 6)","(3, 18)",6787,120,0,133,51,90018
"(3, 4)","(3, 4)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 4)","(3, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 4)","(4, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 5)","(3, 4)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 5)","(3, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 5)","(4, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(4, 5)","(3, 4)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(4, 5)","(3, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(4, 5)","(4, 5)","(4, 6)","(4, 12)",7508,131,0,133,51,93610
"(3, 4)","(3, 4)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 4)","(3, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 4)","(4, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 5)","(3, 4)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 5)","(3, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 5)","(4, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(4, 5)","(3, 4)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(4, 5)","(3, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(4, 5)","(4, 5)","(4, 10)","(3, 10)",4386,72,0,135,52,80718
"(3, 4)","(3, 4)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 4)","(3, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 4)","(4, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 5)","(3, 4)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 5)","(3, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 5)","(4, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(4, 5)","(3, 4)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(4, 5)","(3, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(4, 5)","(4, 5)","(4, 12)","(3, 8)",4482,76,0,135,52,86275
"(3, 4)","(3, 4)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 4)","(3, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 4)","(4, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 5)","(3, 4)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 5)","(3, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 5)","(4, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(4, 5)","(3, 4)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(4, 5)","(3, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(4, 5)","(4, 5)","(3, 8)","(4, 12)",4636,80,0,135,52,83874
"(3, 4)","(3, 4)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 4)","(3, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 4)","(4, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 5)","(3, 4)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 5)","(3, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 5)","(4, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(4, 5)","(3, 4)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(4, 5)","(3, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(4, 5)","(4, 5)","(3, 15)","(4, 6)",6420,115,0,135,52,85161
"(3, 4)","(3, 4)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 4)","(3, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 4)","(4, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 5)","(3, 4)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 5)","(3, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 5)","(4, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(4, 5)","(3, 4)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(4, 5)","(3, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(4, 5)","(4, 5)","(3, 12)","(4, 8)",4862,87,0,136,53,84405
"(3, 4)","(3, 4)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 4)","(3, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 4)","(4, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 5)","(3, 4)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 5)","(3, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 5)","(4, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(4, 5)","(3, 4)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(4, 5)","(3, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(4, 5)","(4, 5)","(4, 8)","(4, 8)",6517,117,0,137,54,88738
"(3, 4)","(3, 4)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 4)","(3, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 4)","(4, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 5)","(3, 4)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 5)","(3, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 5)","(4, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(4, 5)","(3, 4)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(4, 5)","(3, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(4, 5)","(4, 5)","(3, 10)","(4, 10)",4396,73,0,138,55,84642
"(3, 4)","(3, 4)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 4)","(3, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 4)","(4, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 5)","(3, 4)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 5)","(3, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 5)","(4, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(4, 5)","(3, 4)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(4, 5)","(3, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(4, 5)","(4, 5)","(3, 12)","(3, 10)",3697,51,0,139,56,87562
"(3, 4)","(3, 4)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 4)","(3, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 4)","(4, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 5)","(3, 4)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 5)","(3, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 5)","(4, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(4, 5)","(3, 4)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(4, 5)","(3, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(4, 5)","(4, 5)","(4, 10)","(3, 8)",5010,89,0,139,56,86629
"(3, 4)","(3, 4)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 4)","(3, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 4)","(4, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 5)","(3, 4)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 5)","(3, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 5)","(4, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(4, 5)","(3, 4)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(4, 5)","(3, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(4, 5)","(4, 5)","(3, 8)","(4, 15)",4212,68,0,140,57,83911
"(3, 4)","(3, 4)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 4)","(3, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 4)","(4, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 5)","(3, 4)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 5)","(3, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 5)","(4, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(4, 5)","(3, 4)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(4, 5)","(3, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(4, 5)","(4, 5)","(4, 15)","(3, 6)",5241,94,0,140,57,86831
"(3, 4)","(3, 4)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 4)","(3, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 4)","(4, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 5)","(3, 4)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 5)","(3, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 5)","(4, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(4, 5)","(3, 4)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(4, 5)","(3, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(4, 5)","(4, 5)","(4, 6)","(3, 15)",6974,123,0,140,57,93433
"(3, 4)","(3, 4)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 4)","(3, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 4)","(4, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 5)","(3, 4)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 5)","(3, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 5)","(4, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(4, 5)","(3, 4)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(4, 5)","(3, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(4, 5)","(4, 5)","(4, 10)","(4, 6)",7723,133,0,140,57,90211
"(3, 4)","(3, 4)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 4)","(3, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 4)","(4, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 5)","(3, 4)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 5)","(3, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 5)","(4, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(4, 5)","(3, 4)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(4, 5)","(3, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(4, 5)","(4, 5)","(3, 10)","(3, 12)",3736,53,0,141,58,88148
"(3, 4)","(3, 4)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 4)","(3, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 4)","(4, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 5)","(3, 4)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 5)","(3, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 5)","(4, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(4, 5)","(3, 4)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(4, 5)","(3, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(4, 5)","(4, 5)","(3, 15)","(3, 8)",3857,55,0,141,58,83708
"(3, 4)","(3, 4)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 4)","(3, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 4)","(4, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 5)","(3, 4)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 5)","(3, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 5)","(4, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(4, 5)","(3, 4)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(4, 5)","(3, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(4, 5)","(4, 5)","(3, 18)","(3, 6)",4632,79,0,141,58,83035
"(3, 4)","(3, 4)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 4)","(3, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 4)","(4, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 5)","(3, 4)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 5)","(3, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 5)","(4, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(4, 5)","(3, 4)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(4, 5)","(3, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(4, 5)","(4, 5)","(3, 10)","(4, 8)",5283,95,0,142,59,87416
"(3, 4)","(3, 4)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 4)","(3, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 4)","(4, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 5)","(3, 4)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 5)","(3, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 5)","(4, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(4, 5)","(3, 4)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(4, 5)","(3, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(4, 5)","(4, 5)","(3, 8)","(3, 18)",3883,57,0,144,60,87209
"(3, 4)","(3, 4)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 4)","(3, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 4)","(4, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 5)","(3, 4)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 5)","(3, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 5)","(4, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(4, 5)","(3, 4)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(4, 5)","(3, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(4, 5)","(4, 5)","(3, 8)","(3, 15)",4090,64,0,148,61,84926
"(3, 4)","(3, 4)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 4)","(3, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 4)","(4, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 5)","(3, 4)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 5)","(3, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 5)","(4, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(4, 5)","(3, 4)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(4, 5)","(3, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(4, 5)","(4, 5)","(4, 6)","(3, 12)",7310,128,0,149,62,100340
"(3, 4)","(3, 4)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 4)","(3, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 4)","(4, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 5)","(3, 4)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 5)","(3, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 5)","(4, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(4, 5)","(3, 4)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(4, 5)","(3, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(4, 5)","(4, 5)","(4, 8)","(3, 10)",5355,98,0,150,63,90301
"(3, 4)","(3, 4)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 4)","(3, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 4)","(4, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 5)","(3, 4)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 5)","(3, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 5)","(4, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(4, 5)","(3, 4)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(4, 5)","(3, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(4, 5)","(4, 5)","(3, 12)","(4, 6)",7064,124,0,151,64,95471
"(3, 4)","(3, 4)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 4)","(3, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 4)","(4, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 5)","(3, 4)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 5)","(3, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(3, 5)","(4, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(4, 5)","(3, 4)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
"(4, 5)","(3, 5)","(4, 6)","(4, 10)",7981,134,0,152,65,101312
